"number" "dsum" "count" "missing" "quant_error" "fname"
103 3872.16 5308 4260 0.00181919 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.argentatus_BowenIsland_100m.tif"
104 3534.2 5308 4260 0.00192274 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.californicus_BowenIsland_100m.tif"
105 4266.13 5308 4260 2.4372e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.canus_BowenIsland_100m.tif"
106 2675.65 5308 4260 0.00581865 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.delawarensis_BowenIsland_100m.tif"
107 4230.24 5308 4260 0.00141864 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.glaucescens_BowenIsland_100m.tif"
108 3449.43 5308 4260 0.00189210 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Larus.occidentalis_BowenIsland_100m.tif"
109 3128.41 5308 4260 0.00390804 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Limnodromus.scolopaceus_BowenIsland_100m.tif"
110 4390.76 5308 4260 0.00119967 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Lophodytes.cucullatus_BowenIsland_100m.tif"
111 4883.75 5308 4260 0.000934436 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Loxia.curvirostra_BowenIsland_100m.tif"
112 4530.71 5308 4260 0.00123101 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Megaceryle.alcyon_BowenIsland_100m.tif"
113 4675.76 5308 4260 0.00135032 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melanitta.fusca_BowenIsland_100m.tif"
114 3788.54 5308 4260 0.00259202 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melanitta.nigra_BowenIsland_100m.tif"
115 4737.73 5308 4260 0.00221473 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melanitta.perspicillata_BowenIsland_100m.tif"
116 3316.91 5308 4260 0.00270706 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melospiza.georgiana_BowenIsland_100m.tif"
117 4044.82 5308 4260 0.000680299 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melospiza.lincolnii_BowenIsland_100m.tif"
118 4562.83 5308 4260 0.00354545 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Melospiza.melodia_BowenIsland_100m.tif"
119 4640.59 5308 4260 0.00453667 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Mergus.serrator_BowenIsland_100m.tif"
120 4360.56 5308 4260 0.00247287 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Molothrus.ater_BowenIsland_100m.tif"
121 4116.58 5308 4260 0.000443263 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Myadestes.townsendi_BowenIsland_100m.tif"
122 4825.02 5308 4260 0.000761423 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Oreothlypis.celata_BowenIsland_100m.tif"
123 2853.47 5308 4260 0.00176703 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Oreothlypis.ruficapilla_BowenIsland_100m.tif"
124 3044.64 5308 4260 0.00517839 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Oxyura.jamaicensis_BowenIsland_100m.tif"
125 3866.37 5308 4260 0.000671548 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Pandion.haliaetus_BowenIsland_100m.tif"
126 3969.19 5308 4260 0.00111558 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Passerculus.sandwichensis_BowenIsland_100m.tif"
127 4650.85 5308 4260 0.00240473 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Passerella.iliaca_BowenIsland_100m.tif"
128 5129.14 5308 4260 0.00730648 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Patagioenas.fasciata_BowenIsland_100m.tif"
129 3206.17 5308 4260 0.00509299 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Peromyscus.keeni_BowenIsland_100m.tif"
130 4768.39 5308 4260 0.00310691 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Peromyscus.maniculatus_BowenIsland_100m.tif"
131 3505.8 5308 4260 0.000407309 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Petrochelidon.pyrrhonota_BowenIsland_100m.tif"
132 3647.88 5308 4260 0.00342902 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Phalacrocorax.auritus_BowenIsland_100m.tif"
